matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
21437,Poland,Netherlands,W,3,1,25,22,25,25,,57,6,6,72,74,120
21437,Netherlands,Poland,L,1,3,22,25,22,22,,54,11,2,81,79,126
21438,China,Japan,L,0,3,23,14,22,,,38,5,1,38,63,79
21438,Japan,China,W,3,0,25,25,25,,,42,3,6,45,48,79
21439,Serbia,Türkiye,W,3,1,12,25,25,25,,54,10,1,69,79,113
21439,Türkiye,Serbia,L,1,3,25,22,23,23,,44,8,9,66,63,104
21440,Bulgaria,Italy,L,1,3,16,25,19,19,,43,6,6,64,77,109
21440,Italy,Bulgaria,W,3,1,25,22,25,25,,54,11,6,64,61,101
21441,Ukraine,USA,W,3,0,25,25,25,,,40,6,5,41,52,79
21441,USA,Ukraine,L,0,3,22,20,23,,,33,8,3,45,58,77
21442,Argentina,France,W,3,1,25,13,25,25,,41,8,2,57,62,101
21442,France,Argentina,L,1,3,22,25,22,19,,46,6,4,57,69,103
21443,Brazil,Iran,W,3,0,25,25,25,,,37,10,3,38,39,62
21443,Iran,Brazil,L,0,3,19,16,18,,,32,5,1,32,64,76
21444,Germany,Canada,L,2,3,25,19,25,23,11,58,8,3,65,90,123
21444,Canada,Germany,W,3,2,23,25,21,25,15,49,14,8,66,75,115
21445,Slovenia,Cuba,W,3,1,25,21,25,25,,51,12,5,63,66,99
21445,Cuba,Slovenia,L,1,3,22,25,18,15,,44,12,3,49,80,93
21446,China,Serbia,W,3,0,25,25,25,,,38,13,3,51,55,89
21446,Serbia,China,L,0,3,23,23,20,,,39,11,1,41,62,88
21447,Poland,Japan,W,3,1,27,25,18,39,,66,14,0,66,91,125
21447,Japan,Poland,L,1,3,25,22,25,37,,67,3,6,82,81,132
21448,Germany,Italy,L,2,3,25,25,19,23,11,58,7,7,75,83,130
21448,Italy,Germany,W,3,2,21,20,25,25,15,58,14,2,79,81,127
21449,Brazil,Cuba,L,2,3,25,24,25,25,13,60,10,7,69,85,122
21449,Cuba,Brazil,W,3,2,27,26,21,20,15,68,10,3,62,95,123
21450,Argentina,Canada,W,3,2,25,21,14,25,15,59,6,10,89,87,136
21450,Canada,Argentina,L,2,3,22,25,25,22,8,58,9,4,75,77,115
21451,USA,Iran,W,3,2,19,21,25,25,17,58,14,4,44,87,108
21451,Iran,USA,L,2,3,25,25,21,23,15,56,5,9,66,80,117
21452,Japan,Serbia,W,3,0,25,25,26,,,41,7,6,35,51,73
21452,Serbia,Japan,L,0,3,20,23,24,,,41,10,1,30,63,68
21453,Netherlands,Türkiye,W,3,1,21,25,25,25,,56,12,4,70,76,111
21453,Türkiye,Netherlands,L,1,3,25,23,22,23,,59,11,2,72,76,117
21454,Bulgaria,Argentina,W,3,0,25,25,28,,,40,6,5,46,47,73
21454,Argentina,Bulgaria,L,0,3,21,20,26,,,33,5,4,35,59,71
21455,Ukraine,Cuba,W,3,2,25,20,25,17,15,51,17,5,62,89,118
21455,Cuba,Ukraine,L,2,3,22,25,20,25,12,50,11,8,60,80,112
21456,France,Italy,W,3,1,25,25,19,26,,53,10,7,49,75,102
21456,Italy,France,L,1,3,18,22,25,24,,51,7,6,52,80,101
21457,Iran,Slovenia,L,2,3,25,23,18,25,12,48,12,9,69,77,114
21457,Slovenia,Iran,W,3,2,17,25,25,18,15,53,10,9,64,86,119
21458,China,Netherlands,W,3,1,25,25,13,25,,47,6,7,58,61,93
21458,Netherlands,China,L,1,3,19,20,25,17,,55,4,2,51,77,104
21459,Türkiye,Poland,L,0,3,26,23,21,,,41,5,2,42,63,77
