matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
21458,China,Netherlands,W,3,1,25,25,13,25.0,,47,6,7,58,61,93
21458,Netherlands,China,L,1,3,19,20,25,17.0,,55,4,2,51,77,104
21459,Türkiye,Poland,L,0,3,26,23,21,,,41,5,2,42,63,77
21459,Poland,Türkiye,W,3,0,28,25,25,,,35,5,5,43,50,76
21460,Ukraine,Brazil,L,2,3,25,25,22,23.0,10.0,64,11,9,71,88,119
21460,Brazil,Ukraine,W,3,2,19,14,25,25.0,15.0,62,3,5,86,86,128
21461,USA,Slovenia,L,1,3,22,25,25,23.0,,54,13,3,87,84,133
21461,Slovenia,USA,W,3,1,25,27,20,25.0,,54,4,8,78,77,127
21462,Canada,France,L,2,3,22,27,29,25.0,,67,4,5,69,98,128
21462,France,Canada,W,3,2,25,29,27,21.0,5.0,72,8,2,76,83,124
21463,Bulgaria,Germany,W,3,2,25,22,25,23.0,15.0,61,14,3,74,77,110
21463,Germany,Bulgaria,L,2,3,22,25,19,25.0,12.0,53,5,7,74,79,112
21464,Netherlands,Japan,L,0,3,18,23,18,,,37,9,0,36,63,79
21464,Japan,Netherlands,W,3,0,25,25,25,,,42,6,3,42,47,76
21465,China,Türkiye,L,0,3,22,21,20,,,37,4,1,57,58,90
21465,Türkiye,China,W,3,0,25,25,25,,,39,9,6,51,50,82
21466,Poland,Serbia,W,3,0,25,25,25,,,43,8,3,43,52,80
21466,Serbia,Poland,L,0,3,21,20,23,,,37,3,4,46,61,83
21467,Brazil,Slovenia,W,3,0,25,29,25,,,49,7,5,45,54,87
21467,Slovenia,Brazil,L,0,3,19,27,19,,,45,3,1,39,67,81
21468,Argentina,Italy,L,1,3,23,25,35,21.0,,60,11,3,83,83,131
21468,Italy,Argentina,W,3,1,25,17,37,25.0,,57,13,2,66,82,121
21469,Ukraine,Iran,L,2,3,30,20,25,21.0,,62,14,6,50,99,129
21469,Iran,Ukraine,W,3,2,28,25,22,25.0,5.0,66,8,6,64,83,120
21470,Germany,France,W,3,1,23,25,29,29.0,,53,14,2,78,74,135
21470,France,Germany,L,1,3,25,19,27,27.0,,54,14,2,76,87,143
21471,Cuba,USA,L,1,3,22,18,25,23.0,,48,13,4,56,78,106
21471,USA,Cuba,W,3,1,25,25,18,25.0,,47,11,7,62,72,106
21472,Bulgaria,Canada,L,0,3,24,23,19,,,41,6,5,45,65,89
21472,Canada,Bulgaria,W,3,0,26,25,25,,,35,11,6,43,50,69
