MATCHID,TEAMA,TEAMB,RESULTA,RESULTB,SET1A,SET1B,SET2A,SET2B,SET3A,SET3B,SET4A,SET4B,SET5A,SET5B,ATTACKSA,ATTACKSB,BLOCKSA,BLOCKSB,SERVESA,SERVESB,DIGSA,DIGSB,RECSA,RECSB,SETSA,SETSB
21437,Poland,Netherlands,W,L,25,22,22,25,25,22,25,22,,,57,54,6,11,6,2,72,81,74,79,120,126
21438,China,Japan,L,W,23,25,14,25,22,25,,,,,38,42,5,3,1,6,38,45,63,48,79,79
21439,Serbia,Türkiye,W,L,12,25,25,22,25,23,25,23,,,54,44,10,8,1,9,69,66,79,63,113,104
21440,Bulgaria,Italy,L,W,16,25,25,22,19,25,19,25,,,43,54,6,11,6,6,64,64,77,61,109,101
21441,Ukraine,USA,W,L,25,22,25,20,25,23,,,,,40,33,6,8,5,3,41,45,52,58,79,77
21442,Argentina,France,W,L,25,22,13,25,25,22,25,19,,,41,46,8,6,2,4,57,57,62,69,101,103
21443,Brazil,Iran,W,L,25,19,25,16,25,18,,,,,37,32,10,5,3,1,38,32,39,64,62,76
21444,Germany,Canada,L,W,25,23,19,25,25,21,23,25,11,15,58,49,8,14,3,8,65,66,90,75,123,115
21445,Slovenia,Cuba,W,L,25,22,21,25,25,18,25,15,,,51,44,12,12,5,3,63,49,66,80,99,93
21446,China,Serbia,W,L,25,23,25,23,25,20,,,,,38,39,13,11,3,1,51,41,55,62,89,88
21447,Poland,Japan,W,L,27,25,25,22,18,25,39,37,,,66,67,14,3,0,6,66,82,91,81,125,132
21448,Germany,Italy,L,W,25,21,25,20,19,25,23,25,11,15,58,58,7,14,7,2,75,79,83,81,130,127
21449,Brazil,Cuba,L,W,25,27,24,26,25,21,25,20,13,15,60,68,10,10,7,3,69,62,85,95,122,123
21450,Argentina,Canada,W,L,25,22,21,25,14,25,25,22,15,8,59,58,6,9,10,4,89,75,87,77,136,115
21451,USA,Iran,W,L,19,25,21,25,25,21,25,23,17,15,58,56,14,5,4,9,44,66,87,80,108,117
21452,Japan,Serbia,W,L,25,20,25,23,26,24,,,,,41,41,7,10,6,1,35,30,51,63,73,68
21453,Netherlands,Türkiye,W,L,21,25,25,23,25,22,25,23,,,56,59,12,11,4,2,70,72,76,76,111,117
21454,Bulgaria,Argentina,W,L,25,21,25,20,28,26,,,,,40,33,6,5,5,4,46,35,47,59,73,71
21455,Ukraine,Cuba,W,L,25,22,20,25,25,20,17,25,15,12,51,50,17,11,5,8,62,60,89,80,118,112
21456,France,Italy,W,L,25,18,25,22,19,25,26,24,,,53,51,10,7,7,6,49,52,75,80,102,101
21457,Iran,Slovenia,L,W,25,17,23,25,18,25,25,18,12,15,48,53,12,10,9,9,69,64,77,86,114,119
21458,China,Netherlands,W,L,25,19,25,20,13,25,25,17,,,47,55,6,4,7,2,58,51,61,77,93,104
21459,Türkiye,Poland,L,W,26,28,23,25,21,25,,,,,41,35,5,5,2,5,42,43,63,50,77,76
21460,Ukraine,Brazil,L,W,25,19,25,14,22,25,23,25,10,15,64,62,11,3,9,5,71,86,88,86,119,128
21461,USA,Slovenia,L,W,22,25,25,27,25,20,23,25,,,54,54,13,4,3,8,87,78,84,77,133,127
21462,Canada,France,W,L,22,25,27,29,29,27,25,21,,5,67,72,4,8,5,2,69,76,98,83,128,124
21463,Bulgaria,Germany,W,L,25,22,22,25,25,19,23,25,15,12,61,53,14,5,3,7,74,74,77,79,110,112
21464,Netherlands,Japan,L,W,18,25,23,25,18,25,,,,,37,42,9,6,0,3,36,42,63,47,79,76
21465,China,Türkiye,L,W,22,25,21,25,20,25,,,,,37,39,4,9,1,6,57,51,58,50,90,82
21466,Poland,Serbia,W,L,25,21,25,20,25,23,,,,,43,37,8,3,3,4,43,46,52,61,80,83
21467,Brazil,Slovenia,W,L,25,19,29,27,25,19,,,,,49,45,7,3,5,1,45,39,54,67,87,81
21468,Argentina,Italy,L,W,23,25,25,17,35,37,21,25,,,60,57,11,13,3,2,83,66,83,82,131,121
21469,Ukraine,Iran,L,W,30,28,20,25,25,22,21,25,,5,62,66,14,8,6,6,50,64,99,83,129,120
21470,Germany,France,W,L,23,25,25,19,29,27,29,27,,,53,54,14,14,2,2,78,76,74,87,135,143
21471,Cuba,USA,L,W,22,25,18,25,25,18,23,25,,,48,47,13,11,4,7,56,62,78,72,106,106
21472,Bulgaria,Canada,L,W,24,26,23,25,19,25,,,,,41,35,6,11,5,6,45,43,65,50,89,69
21473,Ukraine,France,L,W,23,25,21,25,17,25,,,,,36,43,7,9,2,9,50,50,63,54,80,84
21474,Germany,Cuba,L,W,25,19,18,25,22,25,21,25,,,49,51,10,8,2,7,61,68,79,68,114,112
21475,Türkiye,Slovenia,L,W,16,25,22,25,18,25,,,,,32,40,6,5,2,5,59,53,60,44,92,82
21476,Netherlands,Argentina,L,W,20,25,14,25,22,25,,,,,34,41,4,9,3,4,39,50,63,44,82,69
21477,Bulgaria,Japan,W,L,27,25,25,23,25,19,,,,,42,37,9,6,7,3,37,43,53,60,76,82
21478,Italy,Poland,W,L,25,17,23,25,21,25,25,20,15,11,63,63,17,10,9,4,79,83,87,95,142,145
21479,Serbia,Iran,L,W,21,25,19,25,25,23,23,25,,,47,56,15,11,4,9,32,51,80,75,92,111
21480,Canada,Brazil,L,W,22,25,17,25,17,25,,,,,36,35,2,10,1,4,33,40,60,38,71,58
21481,China,USA,L,W,22,25,25,21,25,19,16,25,11,15,52,65,16,12,3,3,86,82,88,87,135,134
21482,France,Japan,L,W,22,25,25,19,25,22,20,25,11,15,67,59,11,3,2,9,74,95,89,76,123,131
21483,Netherlands,Germany,L,W,26,24,22,25,21,25,24,26,,,49,52,9,12,8,4,76,74,84,76,125,116
21484,Türkiye,Ukraine,L,W,11,25,22,25,21,25,,,,,36,42,6,10,0,3,47,41,64,47,80,75
21485,Serbia,Cuba,L,W,25,22,22,25,16,25,16,25,,,43,45,4,18,3,10,61,55,77,68,111,104
21486,Brazil,China,W,L,25,22,25,16,25,23,,,,,48,39,8,3,6,2,54,67,55,64,81,92
21487,Canada,USA,L,W,23,25,22,25,28,30,,,,,41,41,7,3,2,6,49,63,61,56,83,86
