,matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
1,16128,Bulgaria,China,L,2,3,20,25,21,25,,52,10,4,39,83,106
2,16128,China,Bulgaria,W,3,2,25,21,25,20,5,56,12,8,32,84,98
3,16129,Japan,Iran,W,3,0,25,25,25,,,47,4,4,48,45,83
4,16129,Iran,Japan,L,0,3,16,22,19,,,29,6,3,26,61,78
5,16130,Italy,Argentina,L,0,3,22,23,18,,,37,2,2,51,56,87
6,16130,Argentina,Italy,W,3,0,25,25,25,,,40,8,4,34,51,72
7,16131,Canada,Cuba,W,3,2,25,26,25,22,15,58,17,3,109,85,135
8,16131,Cuba,Canada,L,2,3,21,28,21,25,13,75,6,3,89,95,146
9,16132,Slovenia,Serbia,W,3,1,31,19,25,25,,68,7,2,50,84,124
10,16132,Serbia,Slovenia,L,1,3,29,25,20,21,,56,9,1,49,82,118
11,16133,Poland,France,W,3,1,25,18,35,25,,53,13,8,34,76,95
12,16133,France,Poland,L,1,3,23,25,33,15,,51,7,3,32,83,96
13,16134,USA,Netherlands,W,3,0,25,25,25,,,41,8,6,41,52,77
14,16134,Netherlands,USA,L,0,3,19,23,21,,,36,2,3,44,59,81
15,16135,Brazil,Germany,W,3,1,26,25,19,25,,50,10,5,69,61,93
16,16135,Germany,Brazil,L,1,3,24,16,25,15,,56,4,4,71,85,117
17,16136,Slovenia,Bulgaria,L,0,3,24,23,17,,,38,3,3,31,62,79
18,16136,Bulgaria,Slovenia,W,3,0,26,25,25,,,42,7,4,31,55,78
19,16137,Serbia,China,W,3,0,34,25,25,,,41,9,8,42,58,85
20,16137,China,Serbia,L,0,3,32,16,20,,,45,6,1,34,75,93
21,16138,Poland,Iran,W,3,2,23,23,25,25,15,66,11,6,55,79,114
22,16138,Iran,Poland,L,2,3,25,25,21,15,13,59,10,3,42,95,117
23,16139,Netherlands,Cuba,W,3,0,28,25,25,,,42,6,1,43,52,78
24,16139,Cuba,Netherlands,L,0,3,26,23,18,,,34,5,3,46,59,81
25,16140,Italy,USA,L,0,3,15,18,19,,,30,1,4,41,62,82
26,16140,USA,Italy,W,3,0,25,25,25,,,35,7,10,44,40,63
27,16141,Argentina,Brazil,L,2,3,25,19,25,23,13,60,10,4,91,91,132
28,16141,Brazil,Argentina,W,3,2,19,25,23,25,15,68,8,7,89,87,133
29,16142,China,France,L,1,3,20,25,16,17,,42,6,1,49,77,97
30,16142,France,China,W,3,1,25,23,25,25,,57,5,9,64,65,110
31,16143,Poland,Bulgaria,W,3,2,25,25,22,25,15,57,7,9,57,73,112
32,16143,Bulgaria,Poland,L,2,3,27,19,25,22,11,60,6,3,53,89,122
33,16144,Japan,Serbia,W,3,1,22,25,25,25,,62,3,6,46,68,97
34,16144,Serbia,Japan,L,1,3,25,21,23,20,,51,8,2,33,78,98
35,16145,Netherlands,Germany,W,3,0,25,33,25,,,36,12,8,42,55,75
36,16145,Germany,Netherlands,L,0,3,20,31,21,,,39,8,0,47,67,88
37,16146,Italy,Cuba,W,3,1,25,25,20,25,,52,8,5,46,63,92
38,16146,Cuba,Italy,L,1,3,20,19,25,18,,41,9,3,35,72,95
39,16147,Canada,Argentina,L,1,3,21,25,21,16,,53,4,3,76,80,129
40,16147,Argentina,Canada,W,3,1,25,21,25,25,,55,10,3,83,73,122
41,16148,France,Slovenia,L,1,3,23,18,25,22,,46,7,3,55,71,108
42,16148,Slovenia,France,W,3,1,25,25,21,25,,46,12,3,48,66,105
43,16149,Iran,China,W,3,1,23,25,25,25,,61,10,9,45,63,92
44,16149,China,Iran,L,1,3,25,15,20,14,,41,12,5,29,86,85
45,16150,Japan,Bulgaria,W,3,0,25,25,26,,,48,5,3,41,55,79
46,16150,Bulgaria,Japan,L,0,3,22,21,24,,,34,6,5,34,58,78
47,16151,Germany,Italy,L,1,3,23,18,27,19,,45,10,5,63,78,95
48,16151,Italy,Germany,W,3,1,25,25,25,25,,54,8,7,66,70,109
49,16152,Brazil,Cuba,L,2,3,16,25,29,22,18,67,8,2,70,91,129
50,16152,Cuba,Brazil,W,3,2,25,22,27,25,20,70,14,5,53,90,118
51,16153,Canada,USA,L,0,3,22,20,20,,,36,6,1,58,61,78
52,16153,USA,Canada,W,3,0,25,25,25,,,46,6,5,49,55,86
53,16154,Slovenia,Iran,W,3,0,25,25,25,,,40,8,10,45,57,93
54,16154,Iran,Slovenia,L,0,3,19,23,23,,,37,5,1,46,57,84
55,16155,Serbia,Poland,W,3,0,25,25,25,,,43,9,6,37,46,74
56,16155,Poland,Serbia,L,0,3,21,19,14,,,36,4,3,26,64,82
57,16156,Japan,France,W,3,1,25,25,25,25,,55,6,7,47,68,99
58,16156,France,Japan,L,1,3,27,22,21,20,,55,6,3,39,83,96
59,16157,Argentina,Netherlands,W,3,2,34,25,25,20,15,63,15,8,85,88,132
60,16157,Netherlands,Argentina,L,2,3,36,20,17,25,10,60,9,7,78,100,129
61,16158,USA,Brazil,L,1,3,19,25,15,21,,51,5,4,45,80,109
62,16158,Brazil,USA,W,3,1,25,21,25,25,,50,9,5,43,62,94
63,16159,Canada,Germany,L,1,3,25,17,21,21,,47,9,1,62,79,104
64,16159,Germany,Canada,W,3,1,20,25,25,25,,63,11,4,61,73,118
65,16160,Japan,Canada,W,3,1,25,25,24,25,,61,8,8,66,69,106
66,16160,Canada,Japan,L,1,3,22,17,26,14,,48,7,8,64,88,110
67,16161,Iran,Germany,W,3,0,25,26,25,,,36,12,6,40,47,65
68,16161,Germany,Iran,L,0,3,23,24,16,,,40,3,2,35,63,82
69,16162,USA,Serbia,W,3,1,22,25,25,25,,50,11,6,65,65,103
70,16162,Serbia,USA,L,1,3,25,19,19,21,,45,4,6,67,79,119
71,16163,Argentina,Slovenia,L,1,3,25,21,21,21,,54,3,2,59,76,110
72,16163,Slovenia,Argentina,W,3,1,21,25,25,25,,49,9,5,52,67,99
73,16164,Netherlands,China,W,3,0,25,25,25,,,35,13,2,35,53,74
74,16164,China,Netherlands,L,0,3,19,22,21,,,34,8,6,36,64,88
75,16165,Brazil,Bulgaria,W,3,0,25,25,25,,,39,7,6,37,40,63
76,16165,Bulgaria,Brazil,L,0,3,22,17,15,,,30,3,1,34,60,81
77,16166,Japan,Cuba,W,3,0,25,25,25,,,42,3,0,36,40,66
78,16166,Cuba,Japan,L,0,3,21,16,21,,,30,8,3,24,61,65
79,16167,Iran,Italy,L,0,3,19,16,24,,,36,2,1,55,60,82
80,16167,Italy,Iran,W,3,0,25,25,26,,,41,12,7,48,53,82
81,16168,USA,China,W,3,0,28,25,25,,,51,4,6,34,57,76
82,16168,China,USA,L,0,3,26,22,18,,,40,0,5,44,61,75
83,16169,Slovenia,Canada,W,3,0,25,25,25,,,48,6,7,51,53,76
84,16169,Canada,Slovenia,L,0,3,23,22,14,,,41,4,2,54,64,90
85,16170,Germany,Poland,L,2,3,21,25,14,25,10,49,12,2,53,82,107
86,16170,Poland,Germany,W,3,2,25,22,25,17,15,59,15,6,58,80,123
87,16171,Argentina,France,W,3,1,22,26,25,25,,51,7,4,50,70,106
88,16171,France,Argentina,L,1,3,25,24,21,20,,53,7,2,56,79,110
89,16172,Japan,Brazil,W,3,2,25,25,18,22,18,73,4,7,72,94,133
90,16172,Brazil,Japan,L,2,3,23,21,25,25,16,67,11,2,60,85,117
91,16173,China,Italy,L,0,3,13,19,24,,,35,3,1,30,64,78
92,16173,Italy,China,W,3,0,25,25,26,,,36,12,4,25,44,65
93,16174,Serbia,Germany,W,3,1,25,20,25,25,,51,12,4,60,73,103
94,16174,Germany,Serbia,L,1,3,21,25,23,23,,55,6,10,62,81,116
95,16175,Canada,Bulgaria,W,3,1,22,25,25,25,,52,7,9,55,71,103
96,16175,Bulgaria,Canada,L,1,3,25,23,22,20,,51,11,4,48,80,103
97,16176,Netherlands,Poland,L,2,3,25,18,25,22,11,55,7,7,34,80,98
98,16176,Poland,Netherlands,W,3,2,22,25,18,25,15,57,8,5,43,75,90
99,16177,Slovenia,Cuba,W,3,1,22,25,25,25,,50,10,5,45,57,85
100,16177,Cuba,Slovenia,L,1,3,25,15,16,19,,45,2,4,39,76,88
101,16178,Argentina,Bulgaria,W,3,0,25,25,25,,,42,7,7,57,47,78
102,16178,Bulgaria,Argentina,L,0,3,18,21,22,,,36,4,2,46,66,89
103,16179,Iran,USA,L,0,3,22,18,23,,,39,5,2,37,61,74
104,16179,USA,Iran,W,3,0,25,25,25,,,33,7,13,38,51,68
105,16180,Serbia,Italy,L,0,3,11,21,20,,,40,6,1,37,72,92
106,16180,Italy,Serbia,W,3,0,25,25,25,,,37,13,5,35,43,66
107,16181,France,Cuba,W,3,0,25,25,25,,,32,5,4,46,40,74
108,16181,Cuba,France,L,0,3,18,20,20,,,32,8,4,37,59,81
109,16182,Japan,Argentina,W,3,2,25,25,31,22,15,87,5,3,66,90,125
110,16182,Argentina,Japan,L,2,3,18,22,33,25,12,67,7,4,56,97,117
111,16183,Poland,USA,L,0,3,22,18,19,,,29,6,2,39,58,77
112,16183,USA,Poland,W,3,0,25,25,25,,,38,8,7,39,47,74
113,16184,Brazil,Slovenia,W,3,1,23,25,26,25,,66,6,4,59,76,123
114,16184,Slovenia,Brazil,L,1,3,25,21,24,21,,55,3,1,66,75,109
115,16185,Netherlands,Iran,W,3,2,16,25,21,25,15,52,17,11,43,85,112
116,16185,Iran,Netherlands,L,2,3,25,16,25,17,10,45,10,7,42,85,103
117,16186,Canada,France,L,0,3,17,21,21,,,38,0,4,42,60,74
118,16186,France,Canada,W,3,0,25,25,25,,,51,5,4,42,52,78
119,16187,China,Germany,W,3,1,23,25,25,25,,58,8,5,60,67,91
120,16187,Germany,China,L,1,3,25,18,19,21,,55,4,3,55,81,102
121,16188,Italy,Poland,L,1,3,19,26,25,20,,55,9,4,55,78,117
122,16188,Poland,Italy,W,3,1,25,28,18,25,,56,8,7,64,72,111
123,16189,Bulgaria,Cuba,L,2,3,25,19,20,25,16,54,13,3,47,84,103
124,16189,Cuba,Bulgaria,W,3,2,23,25,25,16,18,62,8,8,54,87,118
125,16190,Netherlands,Serbia,L,2,3,25,21,25,33,,58,11,14,45,99,124
126,16190,Serbia,Netherlands,W,3,2,22,25,21,35,5,70,12,6,52,99,123
127,16191,Brazil,France,W,3,1,25,26,19,25,,56,7,4,60,74,103
