,matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
1,11700,France,Bulgaria,W,3,0,27,25,25,,,39,7,4,13,54,74
2,11700,Bulgaria,France,L,0,3,25,21,23,,,36,5,4,11,56,78
3,11701,Germany,Australia,W,3,0,25,25,25,,,42,5,5,34,40,71
4,11701,Australia,Germany,L,0,3,19,18,16,,,28,3,0,26,53,60
5,11702,Japan,Iran,W,3,0,25,25,26,,,45,7,2,11,50,94
6,11702,Iran,Japan,L,0,3,19,22,24,,,41,8,1,6,68,85
7,11703,Serbia,Slovenia,W,3,1,22,25,36,25,,66,14,3,46,79,119
8,11703,Slovenia,Serbia,L,1,3,25,18,34,18,,53,9,4,59,88,110
9,11704,Netherlands,Russia,L,1,3,19,22,25,20,,49,6,6,47,74,88
10,11704,Russia,Netherlands,W,3,1,25,25,18,25,,51,10,10,49,69,88
11,11705,USA,Canada,W,3,0,25,26,25,,,43,5,4,51,54,91
12,11705,Canada,USA,L,0,3,17,24,20,,,30,6,3,48,58,81
13,11706,Poland,Italy,W,3,0,25,25,25,,,39,8,9,44,44,30
14,11706,Italy,Poland,L,0,3,19,20,18,,,33,6,0,47,60,24
15,11707,Brazil,Argentina,W,3,0,31,26,25,,,44,6,7,42,55,85
16,11707,Argentina,Brazil,L,0,3,29,24,16,,,38,13,3,31,72,76
17,11708,Germany,France,L,2,3,25,22,25,16,15,62,12,5,49,91,47
18,11708,France,Germany,W,3,2,22,25,22,25,17,63,11,5,58,81,43
19,11709,Iran,Russia,L,1,3,17,25,20,17,,49,3,3,49,75,30
20,11709,Russia,Iran,W,3,1,25,20,25,25,,57,10,4,55,62,39
21,11710,Netherlands,Japan,L,2,3,25,25,22,17,8,60,6,4,38,87,114
22,11710,Japan,Netherlands,W,3,2,22,23,25,25,15,66,6,2,31,77,108
23,11711,Australia,Bulgaria,L,0,3,21,20,20,,,26,3,1,46,55,67
24,11711,Bulgaria,Australia,W,3,0,25,25,25,,,34,5,13,32,51,73
25,11712,Poland,Serbia,W,3,1,26,25,21,25,,46,13,17,38,69,92
26,11712,Serbia,Poland,L,1,3,24,19,25,15,,45,3,6,48,76,89
27,11713,Italy,Slovenia,L,0,3,23,19,15,,,32,3,5,9,60,81
28,11713,Slovenia,Italy,W,3,0,25,25,25,,,40,4,8,5,45,74
29,11714,Argentina,Canada,L,0,3,17,21,17,,,27,5,2,32,60,70
30,11714,Canada,Argentina,W,3,0,25,25,25,,,33,7,4,32,40,56
31,11715,USA,Brazil,L,0,3,22,23,19,,,36,9,4,3,62,82
32,11715,Brazil,USA,W,3,0,25,25,25,,,40,7,6,6,51,74
33,11716,Australia,France,L,1,3,26,25,14,23,,47,8,3,57,79,107
34,11716,France,Australia,W,3,1,28,20,25,25,,49,10,7,62,68,100
35,11717,Netherlands,Iran,L,0,3,18,23,28,,,35,3,5,43,58,84
36,11717,Iran,Netherlands,W,3,0,25,25,30,,,44,9,7,44,58,72
37,11718,Germany,Bulgaria,W,3,2,19,25,22,30,15,53,12,9,68,87,119
38,11718,Bulgaria,Germany,L,2,3,25,21,25,28,11,55,14,10,57,88,121
39,11719,Russia,Japan,L,2,3,26,28,25,21,14,65,18,7,60,93,123
40,11719,Japan,Russia,W,3,2,28,26,20,25,16,75,7,3,92,97,137
41,11720,USA,Argentina,W,3,1,23,25,25,25,,54,12,6,47,66,100
42,11720,Argentina,USA,L,1,3,25,21,15,19,,36,9,1,42,72,97
43,11721,Canada,Brazil,L,1,3,17,20,25,25,,52,12,2,60,86,106
44,11721,Brazil,Canada,W,3,1,25,25,22,27,,60,6,6,63,71,116
45,11722,Poland,Slovenia,L,1,3,22,25,19,23,,51,8,3,44,81,117
46,11722,Slovenia,Poland,W,3,1,25,23,25,25,,61,8,5,47,79,131
47,11723,Serbia,Italy,W,3,1,25,22,25,25,,61,11,4,60,73,122
48,11723,Italy,Serbia,L,1,3,23,25,22,18,,48,7,1,71,74,120
49,11724,Germany,Argentina,L,2,3,19,25,25,23,13,56,9,4,54,79,112
50,11724,Argentina,Germany,W,3,2,25,23,17,25,15,70,8,2,68,87,132
51,11725,Iran,Canada,W,3,1,22,25,25,25,,55,14,6,49,76,98
52,11725,Canada,Iran,L,1,3,25,22,22,22,,51,7,3,53,76,102
53,11726,Japan,Serbia,L,1,3,25,23,22,13,,54,7,2,55,77,112
54,11726,Serbia,Japan,W,3,1,18,25,25,25,,58,17,1,36,73,101
55,11727,Brazil,France,L,0,3,37,18,28,,,49,5,4,57,75,99
56,11727,France,Brazil,W,3,0,39,25,30,,,54,6,3,64,69,103
57,11728,Netherlands,Slovenia,L,0,3,18,15,18,,,28,4,3,26,63,77
58,11728,Slovenia,Netherlands,W,3,0,25,25,25,,,39,7,6,41,39,71
59,11729,Australia,Poland,L,0,3,16,10,12,,,20,1,1,17,62,68
60,11729,Poland,Australia,W,3,0,25,25,25,,,31,13,11,26,29,52
61,11730,Italy,Bulgaria,W,3,2,25,20,25,23,15,69,10,7,71,82,118
62,11730,Bulgaria,Italy,L,2,3,19,25,13,25,12,60,9,2,56,91,119
63,11731,Russia,USA,W,3,1,25,25,17,25,,56,6,2,54,69,102
64,11731,USA,Russia,L,1,3,22,19,25,19,,52,5,3,62,74,98
65,11732,Argentina,Slovenia,L,0,3,19,22,18,,,32,7,0,57,58,87
66,11732,Slovenia,Argentina,W,3,0,25,25,25,,,41,5,4,51,49,87
67,11733,Netherlands,Germany,W,3,2,25,23,25,23,15,66,7,9,62,83,126
68,11733,Germany,Netherlands,L,2,3,18,25,20,25,13,55,6,5,57,88,110
69,11734,Brazil,Japan,W,3,0,25,25,25,,,48,3,7,52,47,81
70,11734,Japan,Brazil,L,0,3,20,16,20,,,31,6,2,38,64,72
71,11735,Serbia,France,W,3,2,22,24,25,25,15,62,11,3,43,85,106
72,11735,France,Serbia,L,2,3,25,26,22,23,9,58,5,9,61,88,118
73,11736,Iran,Italy,W,3,1,26,29,21,25,,50,10,7,60,79,126
74,11736,Italy,Iran,L,1,3,24,27,25,22,,64,3,8,71,87,132
75,11737,Poland,USA,W,3,0,25,28,25,,,40,10,2,51,43,75
76,11737,USA,Poland,L,0,3,17,26,17,,,32,8,2,53,65,85
77,11738,Russia,Australia,W,3,0,25,26,25,,,46,7,4,27,57,87
78,11738,Australia,Russia,L,0,3,19,24,21,,,29,4,2,30,57,81
79,11739,Canada,Bulgaria,W,3,0,28,25,25,,,41,10,7,41,51,74
80,11739,Bulgaria,Canada,L,0,3,26,23,16,,,39,4,4,44,66,83
81,11740,Netherlands,Argentina,L,0,3,19,20,23,,,35,7,6,34,65,93
82,11740,Argentina,Netherlands,W,3,0,25,25,25,,,43,10,2,37,52,81
83,11741,Slovenia,Germany,L,1,3,25,20,21,20,,47,5,5,72,71,114
84,11741,Germany,Slovenia,W,3,1,19,25,25,25,,48,8,7,79,67,115
85,11742,France,Japan,W,3,2,21,25,24,25,15,65,9,6,44,87,115
86,11742,Japan,France,L,2,3,25,22,26,21,11,63,7,5,46,90,125
87,11743,Brazil,Serbia,W,3,1,23,25,25,25,,58,14,3,44,74,95
88,11743,Serbia,Brazil,L,1,3,25,23,15,22,,49,6,4,56,78,109
89,11744,Russia,Poland,L,1,3,25,19,19,14,,45,4,6,47,78,94
90,11744,Poland,Russia,W,3,1,21,25,25,25,,42,12,12,47,58,82
91,11745,USA,Australia,W,3,0,25,25,25,,,38,9,6,45,53,76
92,11745,Australia,USA,L,0,3,23,20,17,,,36,2,1,47,59,84
93,11746,Bulgaria,Iran,L,0,3,20,31,22,,,40,5,4,43,68,93
94,11746,Iran,Bulgaria,W,3,0,25,33,25,,,41,9,5,44,55,77
95,11747,Canada,Italy,L,2,3,19,21,25,28,11,61,8,8,73,95,141
96,11747,Italy,Canada,W,3,2,25,25,21,26,15,50,18,5,66,86,110
97,11748,Serbia,Germany,W,3,1,19,25,25,25,,45,9,7,55,60,88
98,11748,Germany,Serbia,L,1,3,25,22,18,15,,41,5,6,56,70,98
99,11749,Japan,Australia,W,3,1,25,21,28,26,,64,8,5,75,79,125
100,11749,Australia,Japan,L,1,3,18,25,26,24,,59,8,1,75,86,124
101,11750,France,Russia,W,3,1,22,25,30,25,,56,9,7,63,68,104
102,11750,Russia,France,L,1,3,25,18,28,19,,54,5,3,43,83,104
103,11751,Slovenia,Canada,W,3,0,25,25,25,,,44,3,5,39,50,73
104,11751,Canada,Slovenia,L,0,3,22,19,22,,,34,5,2,33,59,73
105,11752,Argentina,Italy,L,0,3,28,21,20,,,38,9,1,37,64,101
106,11752,Italy,Argentina,W,3,0,30,25,25,,,38,16,6,45,56,89
107,11753,Iran,USA,W,3,0,25,25,25,,,44,7,5,53,57,92
108,11753,USA,Iran,L,0,3,19,23,23,,,37,6,1,48,63,93
109,11754,Poland,Bulgaria,W,3,0,25,25,25,,,39,8,8,29,34,67
110,11754,Bulgaria,Poland,L,0,3,19,15,12,,,27,2,1,21,59,66
111,11755,Netherlands,Brazil,L,0,3,19,22,25,,,41,7,4,40,71,84
112,11755,Brazil,Netherlands,W,3,0,25,25,27,,,44,9,3,37,53,82
113,11756,Serbia,Iran,W,3,2,21,25,26,25,15,65,12,9,71,82,116
114,11756,Iran,Serbia,L,2,3,25,15,28,22,8,51,8,7,50,91,106
115,11757,Russia,Canada,W,3,1,25,25,23,25,,51,15,6,37,68,99
116,11757,Canada,Russia,L,1,3,18,18,25,23,,44,5,7,53,78,102
117,11758,France,Slovenia,L,2,3,25,25,23,19,9,48,3,6,67,69,100
118,11758,Slovenia,France,W,3,2,17,19,25,25,15,55,11,5,60,79,106
119,11759,Argentina,Australia,W,3,0,25,25,25,,,49,6,5,35,49,82
120,11759,Australia,Argentina,L,0,3,18,19,20,,,32,7,1,32,61,72
121,11760,Germany,USA,L,0,3,12,18,27,,,24,3,4,37,56,74
122,11760,USA,Germany,W,3,0,25,25,29,,,36,11,6,40,40,69
123,11761,Bulgaria,Brazil,L,0,3,16,22,12,,,31,4,1,27,63,67
124,11761,Brazil,Bulgaria,W,3,0,25,25,25,,,38,4,10,29,39,55
125,11762,Japan,Italy,W,3,2,21,25,22,25,15,70,6,6,95,82,145
126,11762,Italy,Japan,L,2,3,25,22,25,15,9,59,12,3,82,94,134
127,11763,Poland,Netherlands,W,3,0,25,25,25,,,35,9,8,41,33,60
128,11763,Netherlands,Poland,L,0,3,14,17,16,,,22,3,2,43,59,75
129,11764,Iran,Germany,L,2,3,25,20,19,25,13,60,7,5,55,81,104
130,11764,Germany,Iran,W,3,2,23,25,25,19,15,47,13,6,54,72,88
131,11765,Slovenia,Russia,W,3,2,19,25,22,25,15,64,9,6,64,86,123
132,11765,Russia,Slovenia,L,2,3,25,23,25,20,8,47,14,7,54,80,110
133,11766,Japan,Argentina,L,1,3,32,16,18,21,,54,6,1,82,90,137
134,11766,Argentina,Japan,W,3,1,30,25,25,25,,61,9,6,80,73,123
135,11767,Netherlands,Bulgaria,L,2,3,18,25,25,22,13,66,5,10,57,84,108
136,11767,Bulgaria,Netherlands,W,3,2,25,18,17,25,15,53,9,7,54,80,100
137,11768,Australia,Italy,L,0,3,20,22,14,,,33,4,1,45,59,85
138,11768,Italy,Australia,W,3,0,25,25,25,,,44,5,3,47,47,77
139,11769,USA,Serbia,L,1,3,23,17,25,25,,55,8,7,37,82,106
140,11769,Serbia,USA,W,3,1,25,25,19,27,,55,11,5,49,70,88
141,11770,Canada,France,L,1,3,25,21,22,17,,52,9,1,62,84,122
142,11770,France,Canada,W,3,1,20,25,25,25,,46,14,4,64,69,110
143,11771,Poland,Brazil,L,0,3,17,26,19,,,37,7,2,36,65,86
144,11771,Brazil,Poland,W,3,0,25,28,25,,,52,5,2,35,49,90
145,11772,Russia,Serbia,W,3,1,25,25,22,25,,50,15,7,53,77,114
146,11772,Serbia,Russia,L,1,3,23,22,25,21,,55,7,3,57,80,108
147,11773,Iran,Australia,L,2,3,23,22,25,25,12,54,13,5,51,89,123
148,11773,Australia,Iran,W,3,2,25,25,23,18,15,55,12,5,54,90,124
149,11774,Argentina,Bulgaria,W,3,1,25,16,25,25,,54,3,6,53,66,94
150,11774,Bulgaria,Argentina,L,1,3,20,25,18,18,,45,7,4,50,71,102
151,11775,Japan,Germany,W,3,0,25,25,25,,,46,5,4,46,44,77
152,11775,Germany,Japan,L,0,3,18,22,20,,,38,5,2,30,64,81
153,11776,Italy,USA,L,0,3,15,18,21,,,29,1,3,44,59,74
154,11776,USA,Italy,W,3,0,25,25,25,,,39,7,9,50,44,76
155,11777,Canada,Poland,L,0,3,22,23,19,,,39,4,5,42,61,81
156,11777,Poland,Canada,W,3,0,25,25,25,,,44,4,4,48,51,77
157,11778,Brazil,Slovenia,W,3,2,15,25,19,25,15,56,7,7,60,80,111
158,11778,Slovenia,Brazil,L,2,3,25,22,25,13,12,58,7,5,65,83,110
159,11779,Netherlands,France,W,3,2,15,22,28,25,19,64,6,7,70,93,132
160,11779,France,Netherlands,L,2,3,25,25,26,23,17,73,12,6,73,93,128
161,11780,Argentina,Russia,L,1,3,19,23,25,19,,48,5,4,64,75,111
162,11780,Russia,Argentina,W,3,1,25,25,21,25,,49,14,5,50,71,101
163,11781,Serbia,Bulgaria,W,3,0,25,25,25,,,42,7,9,34,45,65
164,11781,Bulgaria,Serbia,L,0,3,20,17,17,,,32,7,3,36,66,72
165,11782,Slovenia,Australia,W,3,1,18,25,25,25,,57,6,4,60,66,101
166,11782,Australia,Slovenia,L,1,3,25,18,18,17,,42,10,3,50,76,96
167,11783,Japan,Poland,L,0,3,14,18,19,,,34,0,0,47,60,81
168,11783,Poland,Japan,W,3,0,25,25,25,,,35,6,6,44,33,60
169,11784,Netherlands,Italy,L,1,3,19,23,25,21,,55,7,5,73,84,120
170,11784,Italy,Netherlands,W,3,1,25,25,23,25,,53,12,8,50,73,105
171,11785,Canada,Germany,W,3,0,25,26,25,,,39,6,1,47,49,77
172,11785,Germany,Canada,L,0,3,17,24,21,,,38,3,3,39,62,85
173,11786,USA,France,L,1,3,23,25,29,22,,57,14,3,69,87,129
174,11786,France,USA,W,3,1,25,22,31,25,,57,6,3,80,76,132
175,11787,Iran,Brazil,L,1,3,19,25,19,21,,48,7,5,41,81,110
176,11787,Brazil,Iran,W,3,1,25,23,25,25,,49,12,3,54,61,112
177,11788,Argentina,Serbia,W,3,0,27,25,26,,,45,8,3,36,57,82
178,11788,Serbia,Argentina,L,0,3,25,20,24,,,38,7,2,38,63,81
179,11789,Bulgaria,Russia,L,0,3,17,22,17,,,24,3,5,31,52,70
180,11789,Russia,Bulgaria,W,3,0,25,25,25,,,45,7,6,40,47,69
181,11790,Japan,Canada,L,0,3,22,23,18,,,42,2,1,54,63,90
182,11790,Canada,Japan,W,3,0,25,25,25,,,44,6,7,48,54,81
183,11791,Australia,Brazil,L,0,3,17,22,12,,,35,3,2,50,66,92
184,11791,Brazil,Australia,W,3,0,25,25,25,,,48,6,3,52,44,78
185,11792,Iran,Slovenia,L,1,3,25,20,19,30,,51,12,4,50,75,97
186,11792,Slovenia,Iran,W,3,1,14,25,25,32,,60,6,3,54,82,109
187,11793,Netherlands,USA,L,2,3,25,17,25,15,13,51,3,7,61,87,117
188,11793,USA,Netherlands,W,3,2,21,25,23,25,15,67,8,12,61,79,111
189,11794,France,Italy,L,2,3,19,25,20,25,12,65,8,3,57,92,126
190,11794,Italy,France,W,3,2,25,22,25,21,15,64,11,6,49,84,121
191,11795,Germany,Poland,L,0,3,22,19,20,,,34,2,2,44,57,78
192,11795,Poland,Germany,W,3,0,25,25,25,,,46,7,2,50,51,82
193,11796,Australia,Serbia,L,1,3,16,13,25,15,,34,6,6,45,78,98
194,11796,Serbia,Australia,W,3,1,25,25,19,25,,52,11,6,31,59,87
195,11797,Japan,Bulgaria,W,3,0,25,25,25,,,50,6,3,52,48,84
196,11797,Bulgaria,Japan,L,0,3,23,18,14,,,34,8,2,44,66,79
197,11798,France,Iran,W,3,0,25,25,25,,,41,8,5,38,52,71
198,11798,Iran,France,L,0,3,21,21,19,,,35,8,2,20,60,76
199,11799,Canada,Netherlands,W,3,0,25,25,25,,,42,11,5,44,42,69
200,11799,Netherlands,Canada,L,0,3,16,16,19,,,29,3,0,41,65,83
201,11800,Brazil,Italy,W,3,1,25,32,22,25,,67,5,5,67,80,124
202,11800,Italy,Brazil,L,1,3,19,30,25,20,,61,9,3,69,87,121
203,11801,Slovenia,USA,W,3,2,28,25,21,28,15,69,11,4,66,91,131
204,11801,USA,Slovenia,L,2,3,30,19,25,26,13,61,10,6,67,92,129
205,11802,Poland,Argentina,W,3,0,25,25,25,,,44,3,7,46,46,78
206,11802,Argentina,Poland,L,0,3,21,22,18,,,37,1,1,44,58,73
207,11803,Germany,Russia,L,1,3,18,18,25,15,,42,7,0,51,77,97
208,11803,Russia,Germany,W,3,1,25,25,23,25,,58,9,8,48,61,98
209,11804,Canada,Australia,W,3,0,25,25,25,,,41,10,5,52,34,69
210,11804,Australia,Canada,L,0,3,17,8,20,,,22,1,2,46,58,77
211,11805,Serbia,Netherlands,W,3,2,25,21,25,21,17,64,5,12,49,87,110
212,11805,Netherlands,Serbia,L,2,3,21,25,18,25,15,60,11,6,58,90,106
213,11806,Bulgaria,USA,L,0,3,19,24,9,,,30,2,0,35,63,80
214,11806,USA,Bulgaria,W,3,0,25,26,25,,,41,7,5,49,44,78
215,11807,Iran,Poland,L,0,3,20,20,16,,,27,5,3,41,66,89
216,11807,Poland,Iran,W,3,0,25,25,25,,,31,11,6,38,43,68
217,11808,Japan,Slovenia,L,0,3,16,16,26,,,38,4,2,35,68,90
218,11808,Slovenia,Japan,W,3,0,25,25,28,,,45,10,5,30,52,78
219,11809,France,Argentina,W,3,0,26,25,25,,,41,8,6,46,53,80
220,11809,Argentina,France,L,0,3,24,21,22,,,37,7,0,39,61,77
221,11810,Brazil,Germany,W,3,0,25,25,25,,,43,5,3,40,50,85
222,11810,Germany,Brazil,L,0,3,21,21,23,,,34,5,3,30,57,80
